,Week,Average Weekly Cases
0,2020-01-22 - 2020-01-28,0.0
1,2020-01-29 - 2020-02-04,0.0
2,2020-02-05 - 2020-02-11,0.0
3,2020-02-12 - 2020-02-18,0.0
4,2020-02-19 - 2020-02-25,0.0
5,2020-02-26 - 2020-03-03,0.0
6,2020-03-04 - 2020-03-10,4.0
7,2020-03-11 - 2020-03-17,47.0
8,2020-03-18 - 2020-03-24,311.0
9,2020-03-25 - 2020-03-31,611.0
10,2020-04-01 - 2020-04-07,1333.0
11,2020-04-08 - 2020-04-14,1735.0
12,2020-04-15 - 2020-04-21,2491.0
13,2020-04-22 - 2020-04-28,4846.0
14,2020-04-29 - 2020-05-05,6703.0
15,2020-05-06 - 2020-05-12,9075.0
16,2020-05-13 - 2020-05-19,14491.0
17,2020-05-20 - 2020-05-26,17177.0
18,2020-05-27 - 2020-06-02,24599.0
19,2020-06-03 - 2020-06-09,26914.0
20,2020-06-10 - 2020-06-16,26137.0
21,2020-06-17 - 2020-06-23,33322.0
22,2020-06-24 - 2020-06-30,37160.0
23,2020-07-01 - 2020-07-07,37772.0
24,2020-07-08 - 2020-07-14,36226.0
25,2020-07-15 - 2020-07-21,37252.0
26,2020-07-22 - 2020-07-28,46393.0
27,2020-07-29 - 2020-08-04,43829.0
28,2020-08-05 - 2020-08-11,43673.0
29,2020-08-12 - 2020-08-18,41695.0
30,2020-08-19 - 2020-08-25,37214.0
31,2020-08-26 - 2020-09-01,40101.0
32,2020-09-02 - 2020-09-08,28574.0
33,2020-09-09 - 2020-09-15,31599.0
34,2020-09-16 - 2020-09-22,24611.0
35,2020-09-23 - 2020-09-29,31367.0
36,2020-09-30 - 2020-10-06,27108.0
37,2020-10-07 - 2020-10-13,20024.0
38,2020-10-14 - 2020-10-20,22558.0
39,2020-10-21 - 2020-10-27,24214.0
40,2020-10-28 - 2020-11-03,17393.0
41,2020-11-04 - 2020-11-10,22519.0
42,2020-11-11 - 2020-11-17,28312.0
43,2020-11-18 - 2020-11-24,31536.0
44,2020-11-25 - 2020-12-01,38577.0
45,2020-12-02 - 2020-12-08,41686.0
46,2020-12-09 - 2020-12-15,44593.0
47,2020-12-16 - 2020-12-22,46415.0
48,2020-12-23 - 2020-12-29,36240.0
49,2020-12-30 - 2021-01-05,36375.0
50,2021-01-06 - 2021-01-12,54672.0
51,2021-01-13 - 2021-01-19,54530.0
52,2021-01-20 - 2021-01-26,51232.0
53,2021-01-27 - 2021-02-02,48934.0
54,2021-02-03 - 2021-02-09,45678.0
55,2021-02-10 - 2021-02-16,45654.0
56,2021-02-17 - 2021-02-23,49388.0
57,2021-02-24 - 2021-03-02,56309.0
58,2021-03-03 - 2021-03-09,69096.0
59,2021-03-10 - 2021-03-16,70219.0
60,2021-03-17 - 2021-03-23,75167.0
61,2021-03-24 - 2021-03-30,75533.0
62,2021-03-31 - 2021-04-06,63494.0
63,2021-04-07 - 2021-04-13,68614.0
64,2021-04-14 - 2021-04-20,64184.0
65,2021-04-21 - 2021-04-27,56927.0
66,2021-04-28 - 2021-05-04,58413.0
67,2021-05-05 - 2021-05-11,61316.0
68,2021-05-12 - 2021-05-18,64665.0
69,2021-05-19 - 2021-05-25,66091.0
70,2021-05-26 - 2021-06-01,63626.0
71,2021-06-02 - 2021-06-08,57542.0
72,2021-06-09 - 2021-06-15,72244.0
73,2021-06-16 - 2021-06-22,77327.0
74,2021-06-23 - 2021-06-29,55322.0
75,2021-06-30 - 2021-07-06,50270.0
76,2021-07-07 - 2021-07-13,42956.0
77,2021-07-14 - 2021-07-20,37746.0
78,2021-07-21 - 2021-07-27,46161.0
79,2021-07-28 - 2021-08-03,32778.0
80,2021-08-04 - 2021-08-10,31221.0
81,2021-08-11 - 2021-08-17,30401.0
82,2021-08-18 - 2021-08-24,26805.0
83,2021-08-25 - 2021-08-31,22668.0
84,2021-09-01 - 2021-09-07,17684.0
85,2021-09-08 - 2021-09-14,15228.0
86,2021-09-15 - 2021-09-21,35565.0
87,2021-09-22 - 2021-09-28,16568.0
88,2021-09-29 - 2021-10-05,16774.0
89,2021-10-06 - 2021-10-12,11568.0
90,2021-10-13 - 2021-10-19,11791.0
91,2021-10-20 - 2021-10-26,12240.0
