,Week,Average Weekly Cases
0,2020-01-22 - 2020-01-28,0.0
1,2020-01-29 - 2020-02-04,2.0
2,2020-02-05 - 2020-02-11,0.0
3,2020-02-12 - 2020-02-18,8.0
4,2020-02-19 - 2020-02-25,15.0
5,2020-02-26 - 2020-03-03,20.0
6,2020-03-04 - 2020-03-10,43.0
7,2020-03-11 - 2020-03-17,41.0
8,2020-03-18 - 2020-03-24,55.0
9,2020-03-25 - 2020-03-31,174.0
10,2020-04-01 - 2020-04-07,355.0
11,2020-04-08 - 2020-04-14,545.0
12,2020-04-15 - 2020-04-21,457.0
13,2020-04-22 - 2020-04-28,291.0
14,2020-04-29 - 2020-05-05,197.0
15,2020-05-06 - 2020-05-12,77.0
16,2020-05-13 - 2020-05-19,46.0
17,2020-05-20 - 2020-05-26,29.0
18,2020-05-27 - 2020-06-02,48.0
19,2020-06-03 - 2020-06-09,39.0
20,2020-06-10 - 2020-06-16,54.0
21,2020-06-17 - 2020-06-23,61.0
22,2020-06-24 - 2020-06-30,125.0
23,2020-07-01 - 2020-07-07,203.0
24,2020-07-08 - 2020-07-14,415.0
25,2020-07-15 - 2020-07-21,566.0
26,2020-07-22 - 2020-07-28,892.0
27,2020-07-29 - 2020-08-04,1329.0
28,2020-08-05 - 2020-08-11,1228.0
29,2020-08-12 - 2020-08-18,1062.0
30,2020-08-19 - 2020-08-25,864.0
31,2020-08-26 - 2020-09-01,691.0
32,2020-09-02 - 2020-09-08,520.0
33,2020-09-09 - 2020-09-15,533.0
34,2020-09-16 - 2020-09-22,430.0
35,2020-09-23 - 2020-09-29,511.0
36,2020-09-30 - 2020-10-06,492.0
37,2020-10-07 - 2020-10-13,522.0
38,2020-10-14 - 2020-10-20,545.0
39,2020-10-21 - 2020-10-27,623.0
40,2020-10-28 - 2020-11-03,721.0
41,2020-11-04 - 2020-11-10,1154.0
42,2020-11-11 - 2020-11-17,1638.0
43,2020-11-18 - 2020-11-24,2036.0
44,2020-11-25 - 2020-12-01,2242.0
45,2020-12-02 - 2020-12-08,2285.0
46,2020-12-09 - 2020-12-15,2617.0
47,2020-12-16 - 2020-12-22,2750.0
48,2020-12-23 - 2020-12-29,3466.0
49,2020-12-30 - 2021-01-05,4035.0
50,2021-01-06 - 2021-01-12,6374.0
51,2021-01-13 - 2021-01-19,6052.0
52,2021-01-20 - 2021-01-26,4282.0
53,2021-01-27 - 2021-02-02,2916.0
54,2021-02-03 - 2021-02-09,1933.0
55,2021-02-10 - 2021-02-16,1351.0
56,2021-02-17 - 2021-02-23,1119.0
57,2021-02-24 - 2021-03-02,1030.0
58,2021-03-03 - 2021-03-09,1066.0
59,2021-03-10 - 2021-03-16,1182.0
60,2021-03-17 - 2021-03-23,1415.0
61,2021-03-24 - 2021-03-30,2006.0
62,2021-03-31 - 2021-04-06,2602.0
63,2021-04-07 - 2021-04-13,3488.0
64,2021-04-14 - 2021-04-20,4365.0
65,2021-04-21 - 2021-04-27,4690.0
66,2021-04-28 - 2021-05-04,5317.0
67,2021-05-05 - 2021-05-11,6142.0
68,2021-05-12 - 2021-05-18,5578.0
69,2021-05-19 - 2021-05-25,4448.0
70,2021-05-26 - 2021-06-01,3113.0
71,2021-06-02 - 2021-06-08,2206.0
72,2021-06-09 - 2021-06-15,1626.0
73,2021-06-16 - 2021-06-22,1441.0
74,2021-06-23 - 2021-06-29,1502.0
75,2021-06-30 - 2021-07-06,1683.0
76,2021-07-07 - 2021-07-13,2301.0
77,2021-07-14 - 2021-07-20,3562.0
78,2021-07-21 - 2021-07-27,5757.0
79,2021-07-28 - 2021-08-03,11209.0
80,2021-08-04 - 2021-08-10,14206.0
81,2021-08-11 - 2021-08-17,19452.0
82,2021-08-18 - 2021-08-24,23082.0
83,2021-08-25 - 2021-08-31,20347.0
84,2021-09-01 - 2021-09-07,13598.0
85,2021-09-08 - 2021-09-14,7497.0
86,2021-09-15 - 2021-09-21,3733.0
87,2021-09-22 - 2021-09-28,2194.0
88,2021-09-29 - 2021-10-05,1135.0
89,2021-10-06 - 2021-10-12,691.0
90,2021-10-13 - 2021-10-19,433.0
91,2021-10-20 - 2021-10-26,282.0
