Date,Adj Close
"January 01, 2019",176.34
"January 08, 2019",179.17
"January 15, 2019",182.33
"January 22, 2019",181.71
"January 29, 2019",183.78
"February 05, 2019",178.93
"February 12, 2019",187.28
"February 19, 2019",189.45
"February 26, 2019",192.03
"March 05, 2019",185.9
"March 12, 2019",189.94
"March 19, 2019",184.6
"March 26, 2019",189.28
"April 02, 2019",191.5
"April 09, 2019",195.09
"April 16, 2019",195.52
"April 23, 2019",195.88
"April 30, 2019",0.0
"May 7, 2019",186.48
"May 14, 2019",187.46
"May 21, 2019",186.41
"May 28, 2019",179.62
"June 04, 2019",185.98
"June 11, 2019",185.89
"June 18, 2019",187.32
"June 25, 2019",191.22
"July 02, 2019",189.5
"July 09, 2019",190.84
"July 16, 2019",188.47
"July 23, 2019",190.23
"July 30, 2019",182.34
"August 06, 2019",182.03
"August 13, 2019",180.96
"August 20, 2019",178.3
"August 27, 2019",181.46
"September 03, 2019",187.6
"September 10, 2019",193.5
"September 17, 2019",194.3
"September 24, 2019",191.45
"October 01, 2019",188.1
"October 08, 2019",191.83
"October 15, 2019",198.43
"October 22, 2019",201.23
"October 29, 2019",201.09
"November 05, 2019",205.32
"November 12, 2019",206.07
"November 19, 2019",204.98
"November 26, 2019",207.06
"December 03, 2019",206.19
"December 10, 2019",210.78
"December 17, 2019",209.63
"December 24, 2019",208.18
"December 31, 2019",204.2
"January 07, 2020",209.89
"January 14, 2020",211.93
"January 21, 2020",205.42
"January 28, 2020",202.15
"February 04, 2020",208.44
"February 11, 2020",207.0
"February 18, 2020",205.8
"February 25, 2020",187.83
"March 03, 2020",173.35
"March 10, 2020",149.62
"March 17, 2020",148.61
"March 24, 2020",167.95
"March 31, 2020",163.47
"April 07, 2020",167.58
"April 14, 2020",173.09
"April 21, 2020",174.09
"April 28, 2020",172.65
"May 5, 2020",179.44
"May 12, 2020",177.18
"May 19, 2020",182.53
"May 26, 2020",194.15
"June 02, 2020",203.97
"June 09, 2020",189.47
"June 16, 2020",197.45
"June 23, 2020",193.56
"June 30, 2020",199.89
"July 07, 2020",200.51
"July 14, 2020",199.91
"July 21, 2020",199.9
"July 28, 2020",195.32
"August 04, 2020",196.5
"August 11, 2020",203.25
"August 18, 2020",202.27
"August 25, 2020",203.63
"September 01, 2020",203.19
"September 08, 2020",207.32
"September 15, 2020",205.57
"September 22, 2020",206.9
"September 29, 2020",205.15
"October 06, 2020",207.32
"October 13, 2020",208.31
"October 20, 2020",206.75
"October 27, 2020",205.0
"November 03, 2020",218.59
"November 10, 2020",227.98
"November 17, 2020",224.64
"November 24, 2020",232.62
"December 01, 2020",233.62
"December 08, 2020",235.25
"December 15, 2020",235.09
"December 22, 2020",236.32
"December 29, 2020",239.87
"January 05, 2021",247.62
"January 12, 2021",248.53
"January 19, 2021",253.64
"January 26, 2021",247.2
"February 02, 2021",258.62
"February 09, 2021",264.74
"February 16, 2021",265.37
"February 23, 2021",261.04
"March 02, 2021",252.94
"March 09, 2021",261.95
"March 16, 2021",256.73
"March 23, 2021",258.58
"March 30, 2021",264.79
"April 06, 2021",259.94
"April 13, 2021",261.23
"April 20, 2021",256.31
"April 27, 2021",253.55
"May 4, 2021",259.76
"May 11, 2021",244.86
"May 18, 2021",249.61
"May 25, 2021",253.97
"June 01, 2021",253.57
