,Week,Average Weekly Cases
0,2020-01-22 - 2020-01-28,0.0
1,2020-01-29 - 2020-02-04,0.0
2,2020-02-05 - 2020-02-11,0.0
3,2020-02-12 - 2020-02-18,0.0
4,2020-02-19 - 2020-02-25,0.0
5,2020-02-26 - 2020-03-03,13.0
6,2020-03-04 - 2020-03-10,148.0
7,2020-03-11 - 2020-03-17,1146.0
8,2020-03-18 - 2020-03-24,8524.0
9,2020-03-25 - 2020-03-31,22222.0
10,2020-04-01 - 2020-04-07,31431.0
11,2020-04-08 - 2020-04-14,29692.0
12,2020-04-15 - 2020-04-21,28866.0
13,2020-04-22 - 2020-04-28,28208.0
14,2020-04-29 - 2020-05-05,26979.0
15,2020-05-06 - 2020-05-12,23018.0
16,2020-05-13 - 2020-05-19,22881.0
17,2020-05-20 - 2020-05-26,21131.0
18,2020-05-27 - 2020-06-02,21142.0
19,2020-06-03 - 2020-06-09,20309.0
20,2020-06-10 - 2020-06-16,23119.0
21,2020-06-17 - 2020-06-23,31885.0
22,2020-06-24 - 2020-06-30,44243.0
23,2020-07-01 - 2020-07-07,52807.0
24,2020-07-08 - 2020-07-14,63247.0
25,2020-07-15 - 2020-07-21,67086.0
26,2020-07-22 - 2020-07-28,64828.0
27,2020-07-29 - 2020-08-04,56797.0
28,2020-08-05 - 2020-08-11,53168.0
29,2020-08-12 - 2020-08-18,47002.0
30,2020-08-19 - 2020-08-25,41717.0
31,2020-08-26 - 2020-09-01,41122.0
32,2020-09-02 - 2020-09-08,36218.0
33,2020-09-09 - 2020-09-15,38826.0
34,2020-09-16 - 2020-09-22,43662.0
35,2020-09-23 - 2020-09-29,42026.0
36,2020-09-30 - 2020-10-06,45873.0
37,2020-10-07 - 2020-10-13,52920.0
38,2020-10-14 - 2020-10-20,62054.0
39,2020-10-21 - 2020-10-27,75366.0
40,2020-10-28 - 2020-11-03,100395.0
41,2020-11-04 - 2020-11-10,130310.0
42,2020-11-11 - 2020-11-17,164268.0
43,2020-11-18 - 2020-11-24,179383.0
44,2020-11-25 - 2020-12-01,167801.0
45,2020-12-02 - 2020-12-08,214716.0
46,2020-12-09 - 2020-12-15,220959.0
47,2020-12-16 - 2020-12-22,213067.0
48,2020-12-23 - 2020-12-29,182607.0
49,2020-12-30 - 2021-01-05,227780.0
50,2021-01-06 - 2021-01-12,246343.0
51,2021-01-13 - 2021-01-19,194504.0
52,2021-01-20 - 2021-01-26,162339.0
53,2021-01-27 - 2021-02-02,137244.0
54,2021-02-03 - 2021-02-09,104825.0
55,2021-02-10 - 2021-02-16,77820.0
56,2021-02-17 - 2021-02-23,68941.0
57,2021-02-24 - 2021-03-02,64733.0
58,2021-03-03 - 2021-03-09,56429.0
59,2021-03-10 - 2021-03-16,55097.0
60,2021-03-17 - 2021-03-23,57712.0
61,2021-03-24 - 2021-03-30,64194.0
62,2021-03-31 - 2021-04-06,65849.0
63,2021-04-07 - 2021-04-13,71597.0
64,2021-04-14 - 2021-04-20,63150.0
65,2021-04-21 - 2021-04-27,52648.0
66,2021-04-28 - 2021-05-04,46792.0
67,2021-05-05 - 2021-05-11,36709.0
68,2021-05-12 - 2021-05-18,30328.0
69,2021-05-19 - 2021-05-25,23452.0
70,2021-05-26 - 2021-06-01,16214.0
71,2021-06-02 - 2021-06-08,14720.0
72,2021-06-09 - 2021-06-15,12692.0
73,2021-06-16 - 2021-06-22,11469.0
74,2021-06-23 - 2021-06-29,12657.0
75,2021-06-30 - 2021-07-06,15302.0
76,2021-07-07 - 2021-07-13,25595.0
77,2021-07-14 - 2021-07-20,40336.0
78,2021-07-21 - 2021-07-27,64160.0
79,2021-07-28 - 2021-08-03,94738.0
80,2021-08-04 - 2021-08-10,128538.0
81,2021-08-11 - 2021-08-17,141981.0
82,2021-08-18 - 2021-08-24,152796.0
83,2021-08-25 - 2021-08-31,166198.0
84,2021-09-01 - 2021-09-07,150026.0
85,2021-09-08 - 2021-09-14,152157.0
86,2021-09-15 - 2021-09-21,130244.0
87,2021-09-22 - 2021-09-28,114271.0
88,2021-09-29 - 2021-10-05,101325.0
89,2021-10-06 - 2021-10-12,89347.0
90,2021-10-13 - 2021-10-19,76714.0
91,2021-10-20 - 2021-10-26,72301.0
