location,date,total_cases,new_cases
Brazil,2020-02-26,1.0,1.0
Brazil,2020-02-27,1.0,0.0
Brazil,2020-02-28,1.0,0.0
Brazil,2020-02-29,2.0,1.0
Brazil,2020-03-01,2.0,0.0
Brazil,2020-03-02,2.0,0.0
Brazil,2020-03-03,2.0,0.0
Brazil,2020-03-04,4.0,2.0
Brazil,2020-03-05,4.0,0.0
Brazil,2020-03-06,13.0,9.0
Brazil,2020-03-07,13.0,0.0
Brazil,2020-03-08,20.0,7.0
Brazil,2020-03-09,25.0,5.0
Brazil,2020-03-10,31.0,6.0
Brazil,2020-03-11,38.0,7.0
Brazil,2020-03-12,52.0,14.0
Brazil,2020-03-13,151.0,99.0
Brazil,2020-03-14,151.0,0.0
Brazil,2020-03-15,162.0,11.0
Brazil,2020-03-16,200.0,38.0
Brazil,2020-03-17,321.0,121.0
Brazil,2020-03-18,372.0,51.0
Brazil,2020-03-19,621.0,249.0
Brazil,2020-03-20,793.0,172.0
Brazil,2020-03-21,1021.0,228.0
Brazil,2020-03-22,1546.0,525.0
Brazil,2020-03-23,1924.0,378.0
Brazil,2020-03-24,2247.0,323.0
Brazil,2020-03-25,2554.0,307.0
Brazil,2020-03-26,2985.0,431.0
Brazil,2020-03-27,3417.0,432.0
Brazil,2020-03-28,3904.0,487.0
Brazil,2020-03-29,4256.0,352.0
Brazil,2020-03-30,4579.0,323.0
Brazil,2020-03-31,5717.0,1138.0
Brazil,2020-04-01,6836.0,1119.0
Brazil,2020-04-02,8044.0,1208.0
Brazil,2020-04-03,9056.0,1012.0
Brazil,2020-04-04,10360.0,1304.0
Brazil,2020-04-05,11130.0,770.0
Brazil,2020-04-06,12161.0,1031.0
Brazil,2020-04-07,14034.0,1873.0
Brazil,2020-04-08,16170.0,2136.0
Brazil,2020-04-09,18092.0,1922.0
Brazil,2020-04-10,19638.0,1546.0
Brazil,2020-04-11,20727.0,1089.0
Brazil,2020-04-12,22192.0,1465.0
Brazil,2020-04-13,23430.0,1238.0
Brazil,2020-04-14,25262.0,1832.0
Brazil,2020-04-15,28320.0,3058.0
Brazil,2020-04-16,30425.0,2105.0
Brazil,2020-04-17,33682.0,3257.0
Brazil,2020-04-18,36658.0,2976.0
Brazil,2020-04-19,38654.0,1996.0
Brazil,2020-04-20,40743.0,2089.0
Brazil,2020-04-21,43079.0,2336.0
Brazil,2020-04-22,45757.0,2678.0
Brazil,2020-04-23,50036.0,4279.0
Brazil,2020-04-24,54043.0,4007.0
Brazil,2020-04-25,59324.0,5281.0
Brazil,2020-04-26,63100.0,3776.0
Brazil,2020-04-27,67446.0,4346.0
Brazil,2020-04-28,73235.0,5789.0
Brazil,2020-04-29,79685.0,6450.0
Brazil,2020-04-30,87187.0,7502.0
Brazil,2020-05-01,92202.0,5015.0
Brazil,2020-05-02,97100.0,4898.0
Brazil,2020-05-03,101826.0,4726.0
Brazil,2020-05-04,108620.0,6794.0
Brazil,2020-05-05,115455.0,6835.0
Brazil,2020-05-06,126611.0,11156.0
Brazil,2020-05-07,135773.0,9162.0
Brazil,2020-05-08,146894.0,11121.0
Brazil,2020-05-09,156061.0,9167.0
Brazil,2020-05-10,162699.0,6638.0
Brazil,2020-05-11,169594.0,6895.0
Brazil,2020-05-12,178214.0,8620.0
Brazil,2020-05-13,190137.0,11923.0
Brazil,2020-05-14,203165.0,13028.0
Brazil,2020-05-15,220291.0,17126.0
Brazil,2020-05-16,233511.0,13220.0
Brazil,2020-05-17,241080.0,7569.0
Brazil,2020-05-18,255368.0,14288.0
Brazil,2020-05-19,271885.0,16517.0
Brazil,2020-05-20,291579.0,19694.0
Brazil,2020-05-21,310087.0,18508.0
Brazil,2020-05-22,330890.0,20803.0
Brazil,2020-05-23,347398.0,16508.0
Brazil,2020-05-24,363211.0,15813.0
Brazil,2020-05-25,374898.0,11687.0
Brazil,2020-05-26,391222.0,16324.0
Brazil,2020-05-27,411821.0,20599.0
Brazil,2020-05-28,438238.0,26417.0
Brazil,2020-05-29,465166.0,26928.0
Brazil,2020-05-30,498440.0,33274.0
Brazil,2020-05-31,514849.0,16409.0
Brazil,2020-06-01,526447.0,11598.0
Brazil,2020-06-02,555383.0,28936.0
Brazil,2020-06-03,584016.0,28633.0
Brazil,2020-06-04,614941.0,30925.0
Brazil,2020-06-05,645771.0,30830.0
Brazil,2020-06-06,672846.0,27075.0
Brazil,2020-06-07,691758.0,18912.0
